question_id,respondent_id,timestamp,year,intent_id,intent,language,text
Q000001,1,2026-02-18 16:38:21.761,1,1,Debugging / Error Fixing,English,How to conduct debugging?
Q000002,1,2026-02-18 16:38:21.761,1,1,Debugging / Error Fixing,English,How to find error or bugs?
Q000003,1,2026-02-18 16:38:21.761,1,1,Debugging / Error Fixing,Mixed,"Vai, Codeblocks ba vs code a debugging er poddhoti ta kivabe shikhbo?"
Q000004,1,2026-02-18 16:38:21.761,1,1,Debugging / Error Fixing,Mixed,"Vai, debugging ki shudhu Kono error solve er jonnoi use kora jay naki onno kajeu?"
Q000005,1,2026-02-18 16:38:21.761,1,1,Debugging / Error Fixing,Bangla,ডিবাগিং শিখব কিভাবে?
Q000006,1,2026-02-18 16:38:21.761,1,2,How-to Implementation,English,What concepts should be clears before implementing these??
Q000007,1,2026-02-18 16:38:21.761,1,2,How-to Implementation,English,Are there any limitations in any programs to implement these?
Q000008,1,2026-02-18 16:38:21.761,1,2,How-to Implementation,Mixed,Sorting er Jonno Kon language valo?
Q000009,1,2026-02-18 16:38:21.761,1,2,How-to Implementation,Mixed,searching er Jonno Kon language valo
Q000010,1,2026-02-18 16:38:21.761,1,2,How-to Implementation,Bangla,অ্যালগরিদম কি অনেক গুরুত্বপূর্ণ?
Q000011,1,2026-02-18 16:38:21.761,1,3,Concept Explanation / Clarification,English,How to think about a recursive function?
Q000012,1,2026-02-18 16:38:21.761,1,3,Concept Explanation / Clarification,English,How to make functions easy?
Q000013,1,2026-02-18 16:38:21.761,1,3,Concept Explanation / Clarification,Mixed,Function a thought process ta kivabe korbo?
Q000014,1,2026-02-18 16:38:21.761,1,3,Concept Explanation / Clarification,Mixed,Code Korte ki shob concept r syntax Amar clearly Jana lagbe?
Q000015,1,2026-02-18 16:38:21.761,1,3,Concept Explanation / Clarification,Bangla,থিয়োরি এর জন্য কি বই পড়তেই হবে?
Q000016,1,2026-02-18 16:38:21.761,1,4,Algorithm Choice / Strategy,English,How to think of a problem easily?
Q000017,1,2026-02-18 16:38:21.761,1,4,Algorithm Choice / Strategy,English,What strategy should I follow to solve a problem?
Q000018,1,2026-02-18 16:38:21.761,1,4,Algorithm Choice / Strategy,Mixed,Akta problem solve korar somoy data overflow na accuracy er bepare kivabe shikhbo?
Q000019,1,2026-02-18 16:38:21.761,1,4,Algorithm Choice / Strategy,Mixed,Problem solve er Jonno algorithm set kora ki must?
Q000020,1,2026-02-18 16:38:21.761,1,4,Algorithm Choice / Strategy,Bangla,কোড সহজে সমাধান করার জন্য কি করব?
Q000021,1,2026-02-18 16:38:21.761,1,5,Data Structures,English,What's data structure?
Q000022,1,2026-02-18 16:38:21.761,1,5,Data Structures,English,Is data structure and data overflow related?
Q000023,1,2026-02-18 16:38:21.761,1,5,Data Structures,Mixed,Kivabe data structure shikhbo?
Q000024,1,2026-02-18 16:38:21.761,1,5,Data Structures,Mixed,Kon language data structure shikhar Jonno best?
Q000025,1,2026-02-18 16:38:21.761,1,5,Data Structures,Bangla,ডাটা স্ট্রাকচার কি শিখাই লাগবে?
Q000026,1,2026-02-18 16:38:21.761,1,6,Time & Space Complexity,English,Don't know anything about the complexity. Can u explain it?
Q000027,1,2026-02-18 16:38:21.761,1,6,Time & Space Complexity,English,How to learn these concept?
Q000028,1,2026-02-18 16:38:21.761,1,6,Time & Space Complexity,Mixed,Kivabe ei complexity avoid kora jay?
Q000029,1,2026-02-18 16:38:21.761,1,6,Time & Space Complexity,Mixed,Egula ki program optimize Korte help kore?
Q000030,1,2026-02-18 16:38:21.761,1,6,Time & Space Complexity,Bangla,এটা কি শুধু বড় প্রোগ্রামের জন্য?
Q000031,1,2026-02-18 16:38:21.761,1,7,Programming Language Syntax / Features,English,How to master syntax in any language?
Q000032,1,2026-02-18 16:38:21.761,1,7,Programming Language Syntax / Features,English,What programing language has the easiest syntax?
Q000033,1,2026-02-18 16:38:21.761,1,7,Programming Language Syntax / Features,Mixed,Syntax ki nijer moto kore customize kora jay?
Q000034,1,2026-02-18 16:38:21.761,1,7,Programming Language Syntax / Features,Mixed,Syntax ta ki?
Q000035,1,2026-02-18 16:38:21.761,1,7,Programming Language Syntax / Features,Bangla,কিভাবে সিনট্যাক্স তাড়াতাড়ি শেখা যায়?
Q000036,1,2026-02-18 16:38:21.761,1,8,Object-Oriented Programming (OOP),English,How OOP helps in real life?
Q000037,1,2026-02-18 16:38:21.761,1,8,Object-Oriented Programming (OOP),English,Is it mandatory to learn oop?
Q000038,1,2026-02-18 16:38:21.761,1,8,Object-Oriented Programming (OOP),Mixed,Konovabe ki private data access kora jay?
Q000039,1,2026-02-18 16:38:21.761,1,8,Object-Oriented Programming (OOP),Mixed,Inheritance r polymorphism ki?
Q000040,1,2026-02-18 16:38:21.761,1,8,Object-Oriented Programming (OOP),Bangla,ইন্টারফেস কি?
Q000041,1,2026-02-18 16:38:21.761,1,9,Database / SQL,English,Difference between data and data structure?
Q000042,1,2026-02-18 16:38:21.761,1,9,Database / SQL,English,How to learn database?
Q000043,1,2026-02-18 16:38:21.761,1,9,Database / SQL,Mixed,Database er best learning platform ki?
