question_id,split
Q000001,train
Q000002,train
Q000003,train
Q000004,train
Q000005,train
Q000006,train
Q000007,train
Q000008,train
Q000009,train
Q000010,train
Q000011,train
Q000012,train
Q000013,val
Q000014,test
Q000015,val
Q000016,train
Q000017,train
Q000018,train
Q000019,train
Q000020,train
Q000021,train
Q000022,val
Q000023,train
Q000024,train
Q000025,train
Q000026,train
Q000027,train
Q000028,val
Q000029,train
Q000030,train
Q000031,train
Q000032,train
Q000033,train
Q000034,train
Q000035,train
Q000036,train
Q000037,val
Q000038,train
Q000039,train
Q000040,train
Q000041,val
Q000042,val
Q000043,train
Q000044,train
Q000045,train
Q000046,train
Q000047,test
Q000048,train
Q000049,train
Q000050,train
Q000051,train
Q000052,train
Q000053,train
Q000054,train
Q000055,train
Q000056,train
Q000057,train
Q000058,test
Q000059,train
Q000060,train
Q000061,train
Q000062,val
Q000063,train
Q000064,train
Q000065,train
Q000066,train
Q000067,train
Q000068,train
Q000069,train
Q000070,test
Q000071,train
Q000072,test
Q000073,train
Q000074,train
Q000075,train
Q000076,train
Q000077,test
Q000078,train
Q000079,test
Q000080,train
Q000081,train
Q000082,train
Q000083,train
Q000084,train
Q000085,train
Q000086,val
Q000087,train
Q000088,train
Q000089,train
Q000090,val
Q000091,test
Q000092,train
Q000093,train
Q000094,train
Q000095,train
Q000096,train
Q000097,train
Q000098,test
Q000099,train
Q000100,train
Q000101,val
Q000102,train
Q000103,train
Q000104,train
Q000105,val
Q000106,train
Q000107,train
Q000108,train
Q000109,train
Q000110,train
Q000111,val
Q000112,test
Q000113,train
Q000114,train
Q000115,train
Q000116,train
Q000117,train
Q000118,train
Q000119,train
Q000120,train
Q000121,train
Q000122,train
Q000123,test
Q000124,train
Q000125,val
Q000126,train
Q000127,train
Q000128,train
Q000129,train
Q000130,test
Q000131,train
Q000132,train
Q000133,train
Q000134,train
Q000135,train
Q000136,train
Q000137,train
Q000138,train
Q000139,train
Q000140,train
Q000141,val
Q000142,train
Q000143,train
Q000144,train
Q000145,train
Q000146,train
Q000147,train
Q000148,train
Q000149,train
Q000150,train
Q000151,train
Q000152,train
Q000153,train
Q000154,val
Q000155,train
Q000156,train
Q000157,train
Q000158,train
Q000159,train
Q000160,train
Q000161,train
Q000162,val
Q000163,train
Q000164,train
Q000165,train
Q000166,val
Q000167,train
Q000168,test
Q000169,test
Q000170,train
Q000171,train
Q000172,train
Q000173,train
Q000174,train
Q000175,train
Q000176,train
Q000177,val
Q000178,val
Q000179,train
Q000180,train
Q000181,train
Q000182,train
Q000183,train
Q000184,train
Q000185,train
Q000186,train
Q000187,val
Q000188,train
Q000189,train
Q000190,train
Q000191,train
Q000192,train
Q000193,train
Q000194,train
Q000195,train
Q000196,val
Q000197,train
Q000198,train
Q000199,train
Q000200,train
Q000201,train
Q000202,val
Q000203,val
Q000204,train
Q000205,train
Q000206,train
Q000207,val
Q000208,train
Q000209,train
Q000210,train
Q000211,train
Q000212,val
Q000213,test
Q000214,test
Q000215,train
Q000216,val
Q000217,train
Q000218,test
Q000219,train
Q000220,train
Q000221,train
Q000222,train
Q000223,test
Q000224,train
Q000225,train
Q000226,train
Q000227,val
Q000228,train
Q000229,train
Q000230,train
Q000231,val
Q000232,train
Q000233,train
Q000234,val
Q000235,train
Q000236,train
Q000237,train
Q000238,train
Q000239,train
Q000240,train
Q000241,train
Q000242,test
Q000243,train
Q000244,train
Q000245,train
Q000246,train
Q000247,train
Q000248,train
Q000249,train
Q000250,test
Q000251,train
Q000252,test
Q000253,train
Q000254,train
Q000255,train
Q000256,train
Q000257,train
Q000258,train
Q000259,train
Q000260,train
Q000261,train
Q000262,train
Q000263,test
Q000264,train
Q000265,train
Q000266,train
Q000267,train
Q000268,train
Q000269,val
Q000270,val
Q000271,test
Q000272,train
Q000273,train
Q000274,train
Q000275,train
Q000276,train
Q000277,train
Q000278,val
Q000279,train
Q000280,train
Q000281,test
Q000282,train
Q000283,train
Q000284,train
Q000285,train
Q000286,train
Q000287,train
Q000288,train
Q000289,train
Q000290,train
Q000291,train
Q000292,train
Q000293,val
Q000294,test
Q000295,train
Q000296,train
Q000297,train
Q000298,train
Q000299,train
Q000300,train
Q000301,train
Q000302,train
Q000303,train
Q000304,train
Q000305,train
Q000306,test
Q000307,test
Q000308,train
Q000309,val
Q000310,train
